,company_name,location,notice_date,layoff_date,employees_affected,Recieved Date
6285,"Aramark Sports and Entertainment Services of TX, LLC",Houston,2017-07-31 00:00:00,2017-09-30 00:00:00,166.0,17912
6286,Aramark-Wortham Theater,Houston,2017-07-31 00:00:00,2017-09-30 00:00:00,3.0,17914
6287,Aramark-Miller Theater,Houston,2017-07-28 00:00:00,2017-09-30 00:00:00,4.0,17915
6288,Harman International,Richardson,2017-08-01 00:00:00,2017-09-20 00:00:00,140.0,17916
6289,Samson Lone Star Facility,Longview,2017-08-01 00:00:00,2017-09-15 00:00:00,60.0,17917
6290,Snap Kitchen-Fountain View,Houston,2017-08-01 00:00:00,2017-10-01 00:00:00,84.0,17921
6291,Snap Kitchen-Kirby Dr.,Houston,2017-08-01 00:00:00,2017-10-01 00:00:00,17.0,17922
6292,Freeport-McMoRan Oil & Gas,Houston,2017-08-01 00:00:00,2017-10-13 00:00:00,5.0,17930
6293,Snap Kitchen-Bee Cave Rd.,Austin,2017-08-01 00:00:00,2017-10-01 00:00:00,23.0,17920
6294,Snap Kitchen- Triangle Ave.,Austin,2017-08-01 00:00:00,2017-10-01 00:00:00,42.0,17919
6295,24-7 Intouch,Frisco,2017-08-01 00:00:00,2017-10-15 00:00:00,200.0,17928
6296,DSC Logistics Inc.-Dallas,Dallas,2017-08-07 00:00:00,2017-10-06 00:00:00,75.0,17931
6297,Andeavor,San Antonio,2017-08-02 00:00:00,2017-10-04 00:00:00,15.0,17925
6298,Capital One-Beaumont,Beaumont,2017-08-07 00:00:00,2017-10-01 00:00:00,47.0,17932
6299,Rowan Companies,Houston,2017-08-07 00:00:00,2017-10-01 00:00:00,85.0,17927
6300,M2 Services-Ft Hood,Fort Hood,2017-08-08 00:00:00,2017-09-30 00:00:00,101.0,17929
6301,Sunoco LP - Stripes LLC,Corpus Ch,2017-08-14 00:00:00,2017-10-13 00:00:00,110.0,17940
6302,Cheddar's Scratch Kitchen,Irving,2017-08-14 00:00:00,2017-04-24 00:00:00,69.0,17941
6303,Color Spot Nurseries-Richmond,Richmond,2017-08-18 00:00:00,2017-10-31 00:00:00,142.0,17943
6304,Superior Foods,McAllen,2017-08-25 00:00:00,2017-10-31 00:00:00,118.0,17948
6305,"Oracle America, Inc.",Austin,2017-09-01 00:00:00,2017-10-31 00:00:00,108.0,17958
6306,"Novitex Enterprise Solutions, Inc.",Round Rock,2017-09-05 00:00:00,2017-11-05 00:00:00,86.0,17961
6307,Freeport-McMoRan Oil & Gas,Houston,2017-09-06 00:00:00,2017-10-31 00:00:00,1.0,17960
6308,Palestine Regional Medical Center,Palestine,2017-09-11 00:00:00,2017-11-11 00:00:00,38.0,17965
6309,Palestine Regional Medical,Palestine,2017-09-11 00:00:00,2017-11-11 00:00:00,13.0,17966
6310,AT&T-El Paso,El Paso,2017-09-13 00:00:00,2017-11-17 00:00:00,119.0,17968
6311,Fluor Enterprises-M&G Jumbo Project,Corpus Ch,2017-09-15 00:00:00,2017-09-14 00:00:00,274.0,17969
6312,Harman International,Richardson,2017-09-15 00:00:00,2017-10-31 00:00:00,25.0,17970
6313,Boeing Company,Houston,2017-09-18 00:00:00,2017-11-17 00:00:00,3.0,17971
6314,"CB&I, Inc. - 850 Pine Street",Beaumont,2017-09-22 00:00:00,2017-09-21 00:00:00,455.0,17974
6315,M&G Resins USA LLC dba M&G Chemicals,Corpus Ch,2017-09-25 00:00:00,2017-11-21 00:00:00,100.0,17975
6316,Convergy's- Lubbock,Lubbock,2017-09-25 00:00:00,2017-11-30 00:00:00,406.0,17976
6317,NRG Energy,Houston,2017-09-27 00:00:00,2017-12-01 00:00:00,84.0,17977
6318,Lakeside Country Club,Houston,2017-09-21 00:00:00,2017-10-01 00:00:00,148.0,17980
6319,Associated Air Center,Dallas,2017-09-29 00:00:00,2017-09-25 00:00:00,169.0,17984
6320,Freeport-McMoRan Oil & Gas,Houston,2017-10-02 00:00:00,2017-11-01 00:00:00,1.0,17983
6321,Atwood Oceanics Management,Houston,2017-10-05 00:00:00,2017-10-06 00:00:00,79.0,17985
6322,L&W Group-Arlington Stamping,Grand Prairie,2017-10-05 00:00:00,2017-12-04 00:00:00,119.0,17986
6323,National Lloyds-American Summit - NLASCO Services,Waco,2017-10-06 00:00:00,2017-12-31 00:00:00,78.0,17991
6324,Kmart #9325,El Paso,2017-10-03 00:00:00,2018-01-07 00:00:00,35.0,17992
6325,Harman International,Richardson,2017-10-18 00:00:00,2017-12-22 00:00:00,39.0,17995
6326,"BrandFX, LLC",Ft. Worth,2017-10-19 00:00:00,2017-12-18 00:00:00,60.0,17999
6327,Aramark-Aero Café,Ft. Worth,2017-10-20 00:00:00,2017-12-22 00:00:00,56.0,17998
6328,"Cornbread Ventures, LP - Ztejas",Austin,2017-10-23 00:00:00,2017-10-22 00:00:00,24.0,18007
6329,First Data - Sugar Land,Sugar Land,2017-10-27 00:00:00,2018-01-01 00:00:00,275.0,18006
6330,"Clearwater Research, Inc.",San Marcos,2017-10-27 00:00:00,2017-12-31 00:00:00,2.0,18013
6331,PharMerica-#8888 Arlington Central Pharmacy,Arlington,2017-10-27 00:00:00,2017-12-24 00:00:00,20.0,18012
6332,PharMerica-#8610 Dallas-KHPS,Dallas,2017-10-27 00:00:00,2017-12-24 00:00:00,10.0,18009
6333,PharMerica-#8649 Arlington KHPS,Arlington,2017-10-27 00:00:00,2017-12-24 00:00:00,2.0,18011
6334,PharMerica-#8840 Dallas-LTACH,Dallas,2017-10-27 00:00:00,2017-10-24 00:00:00,10.0,18010
6335,Overwatch Systems dba Textron Systems Advanced Information Solutions,Austin,2017-11-02 00:00:00,2017-12-31 00:00:00,46.0,18014
6336,"Dayton Superior, Inc. - New Braunfels",New Braunfels,2017-11-02 00:00:00,2018-01-03 00:00:00,90.0,18017
6337,East Houston Regional Medical Center,Houston,2017-11-03 00:00:00,2017-11-10 00:00:00,479.0,18015
6338,Walmart #6589,San Antonio,2017-11-02 00:00:00,2017-01-05 00:00:00,67.0,18016
6339,Kindred Rehabilitation Hospital,Arlington,2017-11-04 00:00:00,2016-12-31 00:00:00,92.0,17444
6340,"Aptim Maintenance, LLC",Texas City,2017-11-08 00:00:00,2017-12-03 00:00:00,103.0,18020
6341,Capital One-Plano,Plano,2017-11-08 00:00:00,2018-01-08 00:00:00,768.0,18021
6342,Zenith Education Group - Arlington,Arlington,2017-11-03 00:00:00,2018-01-08 00:00:00,30.0,18024
6343,Zenith Education Group - San Antonio,San Antonio,2017-11-03 00:00:00,2018-01-08 00:00:00,30.0,18025
6344,CGI Federal Inc.,San Antonio,2017-11-10 00:00:00,2018-02-18 00:00:00,159.0,18022
6345,Zenith Education Group - Houston,Houston,2017-11-03 00:00:00,2018-01-08 00:00:00,34.0,18027
6346,Zenith Education Group - Austin,Austin,2017-11-03 00:00:00,2018-01-08 00:00:00,28.0,18026
6347,Zenith Education Group-Ft Worth,Ft. Worth,2017-11-03 00:00:00,2018-01-08 00:00:00,31.0,18023
6348,Signet Jewelers,Irving,2017-11-13 00:00:00,2018-01-01 00:00:00,200.0,18031
6349,"Restoration Hardware, Inc.",Grand Prairie,2017-11-13 00:00:00,2018-01-19 00:00:00,54.0,18035
6350,Luminant Generation-Three Oaks Mine,Elgin,2017-11-15 00:00:00,2018-01-13 00:00:00,255.0,18040
6351,Luminant Generation-Shadow Plant Unit 4 & 5,Rockdale,2017-11-10 00:00:00,2018-01-13 00:00:00,135.0,18037
6352,Luminant Generation Co. LLC,Mount Pleasant,2017-11-10 00:00:00,2018-01-13 00:00:00,192.0,18036
6353,Southstar LLC - Kroger Facility,Keller,2017-11-17 00:00:00,2017-12-29 00:00:00,690.0,18041
6354,Harman International,Richardson,2017-11-17 00:00:00,2018-01-31 00:00:00,6.0,18039
6355,Eaton Crouse-Hinds Division,Houston,2017-11-20 00:00:00,2018-01-16 00:00:00,52.0,18043
6356,Dallas County Schools,Dallas,2017-12-06 00:00:00,2018-07-31 00:00:00,2456.0,18050
6357,Crothall Healthcare-Bay Area Medical Center,Webster,2017-12-06 00:00:00,2018-01-31 00:00:00,94.0,18052
6358,Lectrus Corporation,Houston,2017-12-07 00:00:00,2018-02-05 00:00:00,64.0,18051
6359,Harden Pharmacy dba MBS Pharmacy-Round Rock,Round Rock,2017-12-08 00:00:00,2018-02-05 00:00:00,92.0,18056
6360,Harden Pharmacy dba MBS Pharmacy-Ft. Worth,Ft. Worth,2017-12-08 00:00:00,2018-02-05 00:00:00,48.0,18055
6361,Noble Americas Corp.,Houston,2017-12-13 00:00:00,2017-12-31 00:00:00,67.0,18059
6362,AT&T - Dallas,Dallas,2017-12-14 00:00:00,2018-02-17 00:00:00,280.0,18060
6363,Harman International,Richardson,2017-12-19 00:00:00,2017-12-28 00:00:00,12.0,18061
6364,TeleTech-Houston,Houston,2017-12-19 00:00:00,2018-02-19 00:00:00,63.0,18068
6365,Aramark Services-Baylor Scott & White,Dallas,2017-12-21 00:00:00,2018-02-28 00:00:00,105.0,18066
6366,Baylor Scott & White Medical Center,Dallas,2017-12-21 00:00:00,2018-03-01 00:00:00,711.0,18067
6367,Boeing Company,Houston,2017-12-21 00:00:00,2018-02-16 00:00:00,1.0,18069
6368,"Ricoh USA, Inc.",Houston,2018-01-03 00:00:00,2018-03-04 00:00:00,150.0,18072
6369,Aramark Facility Services- Valley Baptist Harlingen,Harlingen,2017-12-29 00:00:00,2018-02-28 00:00:00,160.0,18074
6370,DHL Supply Chain,McAllen,2018-01-02 00:00:00,2018-03-02 00:00:00,108.0,18071
6371,Aramark Facility Services-Valley Baptist Brownsville,Brownsville,2018-01-04 00:00:00,2018-02-28 00:00:00,50.0,18075
6372,Assurant Mobile Solutions- BroadTech LLC,Lewisville,2018-01-03 00:00:00,2018-07-06 00:00:00,195.0,18081
6373,"Parker School Uniforms, LLC",Houston,2018-01-03 00:00:00,2018-01-03 00:00:00,320.0,18077
6374,Sears Holdings - #01847,Austin,2018-01-09 00:00:00,2018-04-08 00:00:00,57.0,18083
6375,Sears Holdings - #02757,Austin,2018-01-09 00:00:00,2018-04-08 00:00:00,8.0,18084
6376,Sam's Club #6346,Houston,2018-01-10 00:00:00,2018-03-16 00:00:00,145.0,18090
6377,Select Medical- Garland,Garland,2018-01-10 00:00:00,2018-02-09 00:00:00,96.0,18088
6378,Sam's Club #8217,Houston,2018-01-11 00:00:00,2018-03-16 00:00:00,170.0,18089
6379,Sam's Club #4845,New Caney,2018-01-11 00:00:00,2016-03-16 00:00:00,155.0,18091
6380,Sam's Club #6416,San Antonio,2018-01-11 00:00:00,2018-03-16 00:00:00,163.0,18092
6381,Maersk Oil Houston,Houston,2018-01-12 00:00:00,2018-01-12 00:00:00,84.0,18097
6382,Transcom Worldwide (US) Inc.,San Antonio,2018-01-15 00:00:00,2018-03-31 00:00:00,172.0,18095
6383,Dish Network-El Paso,El Paso,2018-01-12 00:00:00,2018-03-18 00:00:00,90.0,18096
6384,Northrop-Grumman Systems Corp.,Fort Hood,2018-01-18 00:00:00,2018-03-22 00:00:00,59.0,18098
6385,Success Parnters-Lake Dallas,Lake Dallas,2018-01-18 00:00:00,2018-01-15 00:00:00,15.0,18100
6386,Success Partners-Plano,Plano,2018-01-18 00:00:00,2018-01-15 00:00:00,43.0,18099
6387,Evolent Health,Corpus Ch,2018-01-09 00:00:00,2017-03-31 00:00:00,91.0,18101
6388,Academy Sports & Outdoors Headquarters,Katy,2018-01-22 00:00:00,2018-04-13 00:00:00,57.0,18103
6389,"KCI USA, Inc.",San Antonio,2018-01-23 00:00:00,2018-05-08 00:00:00,30.0,18107
6390,"CIT Bank, N.A.",Austin,2018-01-23 00:00:00,2018-03-31 00:00:00,70.0,18105
6391,Vallourec Drilling Products - Dallas,Dallas,2018-01-23 00:00:00,2018-03-30 00:00:00,1.0,18111
6392,Vallourec Drilling Products-,Houston,2018-01-23 00:00:00,2018-03-30 00:00:00,143.0,18110
6393,Southeast Service Corp. dba SSC Service Solutions- San Jacinto College,Pasadena,2018-01-24 00:00:00,2018-02-18 00:00:00,124.0,18108
6394,"Vallourec Drilling Products USA, Inc.",Houston,2018-01-23 00:00:00,2018-03-30 00:00:00,8.0,18109
6395,CompuCom-Plano,Plano,2018-01-26 00:00:00,2018-03-30 00:00:00,132.0,18116
6396,Harman International,Richardson,2018-01-25 00:00:00,2018-03-30 00:00:00,18.0,18115
6397,ASM Research-Arlington,Arlington,2018-01-26 00:00:00,2018-03-27 00:00:00,56.0,18143
6398,"Compass Group, USA-GM",Roanoke,2018-02-02 00:00:00,2018-04-01 00:00:00,5.0,18124
6399,"AAGP, Ltd dba Texas Direct Auto",Grand Prairie,2018-01-26 00:00:00,2018-03-01 00:00:00,90.0,18126
6400,ASM Research-Austin,Austin,2018-01-26 00:00:00,2018-03-27 00:00:00,46.0,18144
6401,ASM Research-San Antonio,San Antonio,2018-01-26 00:00:00,2018-03-27 00:00:00,3.0,18145
6402,"Stearns Lending, LLC",Lewisville,2018-02-01 00:00:00,2018-04-02 00:00:00,85.0,18127
6403,Boeing Company,Houston,2018-02-02 00:00:00,2018-04-06 00:00:00,1.0,18140
6404,Jacobson Warehouse dba XPO Logistics Supply Chain,Flower Mound,2018-02-09 00:00:00,2018-03-31 00:00:00,58.0,18161
6405,Cenveo Corp.-Ennis,Ennis,2018-02-13 00:00:00,2018-02-13 00:00:00,192.0,18168
6406,Wells Fargo-San Antonio-Bankruptcy Group,San Antonio,2018-02-07 00:00:00,2018-02-08 00:00:00,73.0,18183
6407,"Aptim Maintenance, LLC-Gregory",Gregory,2018-02-01 00:00:00,2018-02-28 00:00:00,221.0,18186
6408,Omni Hotels and Resorts,Austin,2018-02-16 00:00:00,2018-04-30 00:00:00,150.0,18179
6409,"Aptim Maintenance, LLC-Deer Park",Deer Park,2018-02-16 00:00:00,2018-02-28 00:00:00,327.0,18185
6410,"Brock Services, LLC - Celanese Bishop",Bishop,2016-02-15 00:00:00,2018-02-28 00:00:00,153.0,18189
6411,"Brock Services, LLC-Celanese Clear Lake",Pasadena,2018-02-16 00:00:00,2018-02-26 00:00:00,88.0,18187
6412,Transamerica Life Insurance Co. - Plano,Plano,2018-02-16 00:00:00,2018-04-14 00:00:00,264.0,18184
6413,"Lufkin Industries, Inc. (GE Oil & Gas)-",Lufkin,2018-02-16 00:00:00,2018-06-01 00:00:00,78.0,18175
6414,"Brock Services, LLC-Celanese Bay City",Bay City,2018-02-16 00:00:00,2018-02-26 00:00:00,29.0,18188
6415,Jacobs Field Services NA-Celanese Bay City,Bay City,2018-02-14 00:00:00,2018-02-28 00:00:00,10.0,18180
6416,Jacobs Field Services NA- Celanese Pasadena,Pasadena,2018-02-20 00:00:00,2018-02-28 00:00:00,81.0,18182
6417,Jacobs Field Services NA-Celanese Bishop,Bishop,2018-02-14 00:00:00,2018-02-28 00:00:00,140.0,18181
6418,Hart-Hanks-Texarkana,Texarkana,2018-02-20 00:00:00,2018-04-19 00:00:00,460.0,18178
6419,"Arrow Electronics, Inc.-Dallas",Dallas,2018-02-23 00:00:00,2018-04-24 00:00:00,66.0,18191
6420,Capital One-Plano,Plano,2018-02-22 00:00:00,2018-05-01 00:00:00,103.0,18193
6421,Nueterra-Cook Children's NE Hospital,Hurst,2018-02-19 00:00:00,2018-04-23 00:00:00,158.0,18201
6422,Harman International,Richardson,2018-02-16 00:00:00,2018-04-30 00:00:00,7.0,18195
6423,"Jason Pharmaceuticals, Inc. dba Medifast",Coppell,2018-02-27 00:00:00,2018-06-29 00:00:00,66.0,18200
6424,Bank of America-Amon Carter,Ft. Worth,2018-02-27 00:00:00,2018-06-15 00:00:00,87.0,18196
6425,Toys R Us -Distribution Center,Midlothian,2018-03-15 00:00:00,2018-05-14 00:00:00,150.0,18215
6426,NRG Energy,Houston,2018-03-15 00:00:00,2018-05-08 00:00:00,89.0,18217
6427,Harman International,Richardson,2018-03-16 00:00:00,2018-05-31 00:00:00,1.0,18224
6428,Caterpillar-Waco2,Waco,2018-03-20 00:00:00,2018-06-18 00:00:00,190.0,18230
6429,"AT&T Communications, Inc.",Houston,2018-03-22 00:00:00,2018-05-26 00:00:00,117.0,18233
6430,Boyd's Coffee-Northlake,Northlake,2018-03-23 00:00:00,2018-05-23 00:00:00,1.0,18237
6431,Boyd's Coffee- San Antonio,San Antonio,2018-03-23 00:00:00,2018-05-23 00:00:00,2.0,18236
6432,Baker Metal Products-Merrell Rd.,Dallas,2018-03-27 00:00:00,2018-03-31 00:00:00,22.0,18251
6433,Baker Metal Products-Willowbook,Dallas,2018-03-27 00:00:00,2018-05-31 00:00:00,2.0,18252
6434,Baker Metal Products-Carrollton,Carrollton,2018-03-27 00:00:00,2018-05-31 00:00:00,11.0,18253
6435,"Baker Metal Products, Inc.",Dallas,2018-03-27 00:00:00,2018-03-31 00:00:00,44.0,18248
6436,Aramark Facility Services-GM Arlington,Arlington,2018-04-05 00:00:00,2018-09-30 00:00:00,227.0,18261
6437,Borr Drilling Limited-Paragon Offshore Limited,Houston,2018-04-05 00:00:00,2018-03-29 00:00:00,66.0,18263
6438,Aramark Campus Services-Abilene Christian Univ.,Abilene,2018-04-09 00:00:00,2018-06-09 00:00:00,150.0,18266
6439,Vistra Energy- Dynegy Corporate Headquarters,Houston,2018-04-11 00:00:00,2018-06-11 00:00:00,308.0,18273
6440,Durham School Services-Justin,Justin,2018-04-11 00:00:00,2018-06-09 00:00:00,250.0,18271
6441,Capital One Bank - Plano,Plano,2018-04-11 00:00:00,2018-07-01 00:00:00,102.0,18268
6442,Atlantic Coffee Solutions,Houston,2018-04-16 00:00:00,2018-06-12 00:00:00,279.0,18277
6443,Arjo - Wetmore Rd,San Antonio,2018-04-18 00:00:00,2018-06-09 00:00:00,54.0,18283
6444,Boyd's Coffee,Houston,2018-04-18 00:00:00,2018-06-21 00:00:00,8.0,18302
6445,NRG Energy,Houston,2018-04-17 00:00:00,2018-07-02 00:00:00,8.0,18303
6446,Paramedics Plus,Bellmead,2018-04-23 00:00:00,2018-07-31 00:00:00,91.0,18309
6447,KBR-Longview,Longview,2018-05-03 00:00:00,2018-06-30 00:00:00,229.0,18313
6448,Harman International,Richardson,2018-04-25 00:00:00,2018-10-31 00:00:00,17.0,18325
6449,"Genpact Mortgage Services, Inc.",Richardson,2018-05-04 00:00:00,2018-05-01 00:00:00,124.0,18316
6450,Trinity Steel Fabricators-Tomball,Tomball,2018-05-07 00:00:00,2018-05-07 00:00:00,158.0,18321
6451,Trinity Steel Fabricators-Corporate,Houston,2018-05-07 00:00:00,2018-05-07 00:00:00,20.0,18324
6452,Aramark Campus Services-Texas Womans Univ.,Denton,2018-05-04 00:00:00,2018-06-01 00:00:00,110.0,18317
6453,XTO Energy Inc.,Ft. Worth,2018-05-09 00:00:00,2018-07-01 00:00:00,66.0,18327
6454,Bay Area Regional Medical Center,Webster,2018-05-10 00:00:00,2018-05-04 00:00:00,956.0,18326
6455,Acuity Hospital of South TX,San Antonio,2018-05-15 00:00:00,2018-07-14 00:00:00,137.0,18334
6456,College Station RHC Co. LLC,Brenham,2018-05-16 00:00:00,2018-07-16 00:00:00,88.0,18339
6457,College Station Medical Center,College Station,2018-05-16 00:00:00,2018-07-16 00:00:00,80.0,18338
6458,Shape Corp.,Garland,2018-05-24 00:00:00,2018-11-01 00:00:00,70.0,18346
6459,"Restoration Hardware, Inc.",Grand Prairie,2018-05-17 00:00:00,2018-06-29 00:00:00,123.0,18348
6460,Boeing Company,Houston,2018-05-18 00:00:00,2018-07-20 00:00:00,1.0,18349
6461,Zachary Engineering Corp.,Amarillo,2018-05-29 00:00:00,2018-08-03 00:00:00,100.0,18357
6462,TSI Corporation,Fort Hood,2018-05-25 00:00:00,2018-07-31 00:00:00,60.0,18361
6463,Horizons HR Services,Irving,2018-05-10 00:00:00,2018-08-05 00:00:00,120.0,18362
6464,Baker Hughes-Schertz,Schertz,2018-06-06 00:00:00,2018-06-01 00:00:00,266.0,18369
6465,Kmart-Laredo,Laredo,2018-05-31 00:00:00,2018-09-02 00:00:00,79.0,18370
6466,"ECS Refining, Inc.",Mesquite,2018-06-14 00:00:00,2018-08-10 00:00:00,108.0,18381
6467,"PPG Architectural Coatings Finishes, Inc.",Houston,2018-06-18 00:00:00,2018-11-30 00:00:00,52.0,18384
6468,"Account Control Technology, Inc.-San Angelo",San Angelo,2018-06-15 00:00:00,2018-08-17 00:00:00,72.0,18382
6469,"Account Control Technology, Inc.-Dallas",Dallas,2018-06-15 00:00:00,2018-08-15 00:00:00,100.0,18383
6470,Stamford Family Health Center,Stamford,2018-06-19 00:00:00,2018-06-19 00:00:00,29.0,18385
6471,Walmart #474,Edna,2018-06-20 00:00:00,2018-08-31 00:00:00,88.0,18387
6472,Stamford Family Health Center,Stamford,2018-07-06 00:00:00,2018-07-02 00:00:00,54.0,18399
6473,Packers Sanitation Services- Don Miguels Facility,Dallas,2018-07-06 00:00:00,2018-07-22 00:00:00,115.0,18405
6474,Koontz-Wagner,Houston,2018-07-11 00:00:00,2018-07-11 00:00:00,52.0,18407
6475,"Ricoh USA, Inc.",Houston,2018-07-10 00:00:00,2018-09-08 00:00:00,28.0,18410
