,company_name,location,notice_date,layoff_date,employees_affected,Formal Name,City,State,Zip
0,Eclipse Dungs Controls LP,1665 Elmwood Rd ,7/22/2020,,107,"ECLIPSE, INC.",Rockford,IL,61103
1,"Doumak, Inc.",1006 Fairway Lane ,5/29/2020,,30,"DOUMAK, INC.",Bensenville,IL,60606
2,Syncreon,3142 Chrysler Drive P. O. Box 510,2/28/2019,,180,,Belvidere,IL,61008
3,Borg Warner Transmission,300 South Maple ,11/19/2021,2020-11-19 00:00:00,100,,Frankfort,IL,60423
4,"TouchSensor Technologies, LLC",203 N. Gables Blvd ,8/24/2020,2019-06-17 05:00:00,41,,Wheaton,IL,60187-4818
5,Grand Victoria Casino,250 S. Grove ,4/7/2020,,598,,Elgin,IL,60120
6,Northern Trust Corporation,50 S. LaSalle St. ,4/19/2018,2017-04-18 00:00:00,76,,Chicago,IL,60603
7,United Airlines,233 S. Wacker Dr. ,"1/29/2021, 7/31/2020, 7/8/2020",,4968,United Airlines,Chicago,IL,60606
8,John Deere Seeding Plant,501 River Drive ,2/17/2023,,45,JOHN DEERE FOUNDRY EAST MOLINE,Moline,IL,61265
9,"FCA US, LLC",3000 West Chrysler Drive ,"5/17/2021, 2/27/2019",2020-08-25 05:00:00,1371,,Belvidere,IL,61008
10,Hamilton County Coal Mine #1,18033 County Road 500E ,4/15/2020,,79,"Hamilton County Coal, LLC",Dahlgren,IL,62828-4294
11,"Caterpillar, Inc.",2200 Channahon Road ,11/2/2018,2018-08-06 05:00:00,285,Caterpillar,Joliet,IL,60436
12,"Android Belvidere, LLC",1222 Crosslink Pkwy ,3/1/2019,2021-03-15 05:00:00,58,Android Industries-Belvidere,Belvidere,IL,61008
13,Great Dane Trailers,2006 Kentville Road ,4/2/2020,,180,,Kewanee,IL,61443
14,"Xerox, INC",5500 Pearl Street ,2/10/2017,2015-10-12 00:00:00,125,XEROX OAK BROOK MANUFACTURING,Rosemont,IL,60018
15,"Alcatel-Lucent USA, Inc.",2000 Lucent Drive ,7/18/2016,2015-07-18 00:00:00,400,,Naperville,IL,60563
16,Progress Rail Locomotive APL Logistics,"6600 River Road, Bldg. A ",4/27/2017,2016-06-12 00:00:00,114,,Hodgkins,IL,60525
17,News Gazette Media,15 Main Street ,8/30/2019,,130,,Champaign,IL,61820-0677
18,Jacobson Warehouse Company,325 Route 31 South ,6/27/2018,2018-09-10 17:00:00,134,"XPO Logistics Supply Chain, Inc.",Aurora,IL,60538
19,"Acuity Brands Lighting, Inc.",1300 S. Wolf Road ,"6/3/2021, 2/7/2020",2017-09-17 00:00:00,298,,Des Plaines,IL,60018
20,Caterpillar,325 Route 31 ,2/25/2019,2017-10-26 05:00:00,400,Caterpillar,Montgomery,IL,60538
21,Nokia of America Corporation,2000 Lucent Drive ,10/31/2018,2018-12-17 00:00:00,342,,Naperville,IL,60563
22,ADC Diecasting & Manufacturing,901 Chase Ave. ,11/19/2018,2017-12-05 00:00:00,101,,Elk Grove Village,IL,60007
23,"Omron Automotive Electronics, Inc.",3709 Ohio Avenue ,9/10/2018,2018-10-28 17:00:00,78,,St. Charles,IL,60174
24,HSBC Technology and Services,1421 W. Shure Drive Suite #100,2/22/2019,2018-02-08 00:00:00,8,HSBC Card Services,Arlington Heights,IL,60004
25,International Business Machine,71 S Wacker ,3/26/2019,2018-02-15 00:00:00,23,IBM,Chicago,IL,60606
26,Metal Box International,11600 King Street ,3/13/2019,2019-12-06 00:00:00,85,,Franklin Park,IL,60131
27,"Interplex Daystar, Inc.",11130 King Street ,4/8/2019,2018-05-16 00:00:00,75,,Franklin Park,IL,60131
28,Comcast,1415 W. Diehl Road ,4/23/2019,,194,,Naperville,IL,60563
29,"Hubbell Lighting, Inc.",1225 Bowes Road ,5/2/2019,2018-05-08 00:00:00,84,,Elgin,IL,60123
30,"Rockwell Automation, Inc.",2802 W. Bloomington Rd. ,2/18/2021,,130,,Champaign,IL,61822
31,"Jernberg Industries, LLC",328 W. 40th Place ,5/14/2019,2018-06-24 00:00:00,166,,Chicago,IL,60609
32,Anixter International Headquarters,2301 Patriot Drive ,6/19/2019,2018-04-16 00:00:00,68,"ANIXTER BROS., INC.",Glenview,IL,60026
33,Amita Health Medical Collections,2601 Navistar Drive ,6/20/2019,2018-04-08 00:00:00,153,Alexian Bros.-AHS Midwest Regions Co.,Lisle,IL,60532
34,Nestle USA,601 Wall St. ,8/16/2019,,121,,Glendale Heights,IL,60139
35,"Del Monte Foods, Inc.",347 North 43rd Road ,8/20/2019,2018-09-12 00:00:00,473,,Mendota,IL,61342
36,Midland States Bank,3 Diversatech Drive ,8/27/2019,,40,,Manteno,IL,60950
37,Refinitiv,1111 W 22nd Street ,10/11/2019,,33,,Oak Brook,IL,60523
38,Peabody/Wildcat Hills Complex,420 Long Lane Road ,10/14/2019,,226,,Equality,IL,62934
39,Veritiv Operating Company,850 N Arlington Heights Rd. Suite 100 ,3/31/2022,,43,,Itasca,IL,60143
40,Pheasant Run Resort,4051 E. Main St. ,11/12/2019,,149,,St. Charles,IL,60174
41,"Castwell Products, LLC",7800 N. Austin Ave. ,11/21/2019,2018-12-19 00:00:00,149,,Skokie,IL,60077
42,"GSI Group, LLC",1051 W. North Ave. ,11/29/2019,,89,,Flora,IL,62839
43,"ATI Holdings, Inc.",790 Remington Blvd. ,1/2/2020,2019-01-03 00:00:00,50,,Bolingbrook,IL,60440
44,LSC Communications,"6821 E. County Rd., 1100N ",1/14/2020,2019-01-23 18:00:00,796,,Mattoon,IL,61938
45,Bear Down Logistics,2901 Boardwalk Drive ,2/12/2020,,62,,Champaign,IL,61822
46,"Art Van Furniture, LLC",1021 Butterfield Road ,3/4/2020,,46,,Downers Grove,IL,60515
47,Gerber Collision and Glass - Elmhurst,400 W Grand Ave ,3/31/2020,,40,,Elmhurst,IL,60126
48,Global Gear,2500 Curtiss Street ,3/20/2020,,46,,Downers Grove,IL,60515
49,MacMurray College,447 East College Ave. ,3/31/2020,,138,,Jacksonville,IL,62650-1245
50,Hampton Inn Champaign/Urbana - University Ave,1200 West University Avenue ,4/1/2020,,25,Hampton Inn,Urbana,IL,61801
51,"Covia Corporation, Utica Plant",402 Mill St ,4/13/2020,,65,Unimin Corporation,Utica,IL,61373
52,Woodward,1 Woodward Way ,4/9/2020,,1125,WOODWARD GOVERNOR COMPANY,Loves Park,IL,61111
53,Flex-N-Gate,1306 E. University Ave. ,4/27/2020,,150,Master Guard,Urbana,IL,61802
54,Flex-N-Gate,601 Guardian Drive ,4/28/2020,,400,,Urbana,IL,61802
55,"Flexitech, Inc.",1719 E Hamilton Rd ,2/5/2021,2020-02-25 18:00:00,139,,Bloomington,IL,61704-9625
56,Parkhurst Dining Services - Lake Forest,555 N. Sheridan Road ,4/27/2020,,83,,Lake Forest,IL,60045
57,Harrah's Metropolis,100 East Front Street ,4/29/2020,,438,Harrah's Metropolis,Metropolis,IL,62960
58,Hyatt Corporation,1120 N. Carbon Street Suite 70,5/11/2020,,200,Hyatt,Marion,IL,62959
59,"Warehouse Services, Inc.",29900 Graaskamp Blvd ,5/11/2020,,89,,Wilmington,IL,60481
60,Leoni Wiring Systems,3100 N. Campbell Ave. #101 ,2/5/2020,2018-11-06 00:00:00,1,Leoni Wiring Systems,Tucson,AZ,85019
61,Q Center,1405 N. 5th Ave ,6/9/2020,,322,,Saint Charles,IL,60174
62,Worden Martin Buick GMC and Subaru,1402 N. Dunlap Avenue ,6/2/2020,,83,,Savoy,IL,61874
63,Great Wolf Lodge - Gurnee,1700 Nations Dr ,6/26/2020,,597,Great Wolf Lodge,Gurnee,IL,60031
64,Savor Chicago,2301 S King Drive ,6/29/2020,,990,Savor Chicago,Chicago,IL,60616
65,ASM Global (at McCormick Place),301 E. Cermak Road ,8/9/2023,,192,,Chicago,IL,60616
66,"The Rock Island Boatworks, Inc",777 Jumer Dr ,7/7/2020,,321,,Rock Island,IL,61201
67,Palmer House Hilton,17 E Monroe ,7/23/2020,,669,Palmer House Hilton,Chicago,IL,60603
68,"LSC Communications US, LLC",801 N Union St ,5/6/2021,,390,,Dwight,IL,60420
69,"Methode Electronics, Inc.",111 Buchanan Street ,9/9/2020,2019-11-10 06:00:00,42,TECHNICAL COMPONENTS COMPANY,Carthage,IL,62321
70,DoubleTree by Hilton Mundelein-Libertyville,510 E. Route 83 ,9/16/2020,,59,,Mundelein,IL,60060
71,Nestle USA,10255 Kesslinger Rd. ,9/2/2020,,70,,Dekalb,IL,60115
72,"Arcosa Wind Towers, Inc.",10000 Tabor Road ,"5/8/2023, 5/8/2023, 5/8/2023, 5/8/2023, 9/21/2021",2021-08-26 17:00:00,148,,Clinton,IL,61727
73,Two Rivers Head Start,1661 Landmark Road ,8/3/2020,,125,,Aurora,IL,60506
74,Nokia of America Corporation,2000 Lucent Drive ,11/24/2020,2020-10-24 05:00:00,189,,Naperville,IL,60563
75,"Premier Staffing Company, Inc.",275 Parkway Drive ,6/9/2020,,60,,Lincolnshire,IL,60069
76,Solo Cup Operating Corporation,1505 E Main St ,9/25/2023,,138,,Urbana,IL,61802-2834
77,Marmon Foodservice Technologies,101 Regency Dr ,12/23/2020,,21,"Cornelius, Inc.",Glendale Heights,IL,60139-2206
78,Kuehne Nagel,4200 Ferry Rd ,12/16/2020,,115,,Aurora,IL,60502-9552
79,"Xpo Logistics, Inc.",4005 Cedar Creek Dr ,"3/8/2021, 1/5/2021",,227,"XPOLOGISTICS, XPO",Joliet,IL,60436-2090
80,Korn Ferry,233 S. Wacker Dr. Suite 700,12/14/2020,2019-09-10 05:00:00,10,,Chicago,IL,60606
81,Solo Cup Operating Corporation,7575 S Kostner Ave  Ste 3,11/25/2020,2019-09-10 05:00:00,150,,Chicago,IL,60652-1151
82,"Emerald Performance Materials, LLC",1550 County Road 1450 N ,2/5/2021,2020-02-24 18:00:00,52,Emerald Performance Materials,Henry,IL,61537-9404
83,Follett Corporation,3 Westbrook Ctr Ste 200 ,2/22/2021,2019-11-20 00:00:00,65,,Westchester,IL,60154
84,"UPS Supply Chain Solutions, Inc",775 East Dr ,2/26/2021,,63,,Carol Stream,IL,60188-9410
85,"Schutt Sports, LLC",610 Industrial Dr S ,4/5/2021,,180,,Litchfield,IL,62056-3040
86,AON Corporation,5 Overlook Pointe ,2/2/2021,2018-11-19 06:00:00,60,,Lincolnshire,IL,60069
87,"Fresenius Kabi, LLC",600 Supreme Dr ,4/19/2021,,68,"Distribution Center, FRESENIUS KABI",Bensenville,IL,60106-1158
88,"MTIL, Inc.",400 W Crossroads Pkwy ,4/26/2021,,140,,Bolingbrook,IL,60440-4949
89,Alexian Brothers,2601 Navistar Drive ,4/28/2021,2020-06-30 17:00:00,46,AMITA Health IT Division,Lisle,IL,60532
90,Magna Exteriors Belvidere,675 Corporate Pkwy ,"2/28/2023, 5/24/2021",2021-04-19 17:00:00,150,"Decoma Admark, DECOMA DESIGN & ENGINEERING",Belvidere,IL,61008-4079
91,"Sauer Brands, Inc.",2401 E. Devon Avenue ,6/1/2021,,36,,Elk Grove Village,IL,60007
92,Adient plc,1701 Bethany Rd ,"1/30/2023, 6/10/2021",2021-05-04 17:00:00,142,,Sycamore,IL,60178-3104
93,"Meritor, Inc.",1020 W 119th St ,6/30/2021,,74,,Chicago,IL,60643
94,"MEC Energy Services, LLC",1 Rock Island Arsenal ,6/23/2021,,97,,Rock Island,IL,61299-6400
95,Walmart Inc.,727 W Golf Rd ,7/8/2021,,78,Walmart,Des Plaines,IL,60016-2414
96,"Henry Pratt Company, LLC",401 S Highland Ave ,7/13/2021,,112,Henry Pratt Company,Aurora,IL,60506-5580
97,Dynapar Corporation,1675 N Delany Rd ,7/13/2021,,47,"Danaher Indus Sensors Contrls, SPECIALTY PRODUCT TECHNOLOGIES",Gurnee,IL,60031-1237
98,Greenlee Textron Inc.,702 W Main St ,7/14/2021,,64,"Genoa Manufacturing Center, GENOA MANUFACTURING CENTER, GREENLEE TEXTRON",Genoa,IL,60135-1034
99,"Corsicana Bedding, LLC",970 S Lake St ,7/16/2021,2020-05-14 17:00:00,48,Corsicana Mattress Company,Aurora,IL,60506-5901
100,Aramark at Chicago Public Schools,3113 S Rhodes Avenue ,7/16/2021,,201,,Chicago,IL,60616
101,Chemtool Incorporated,61165 Prairie Hill Rd ,7/16/2021,,174,,Rockton,IL,61702
102,UNIQLO USA LLC,830 N Michigan Ave ,7/16/2021,,53,,Chicago,IL,60611
103,"Here North America, LLC",425 W Randolph St ,7/20/2021,2020-06-10 00:00:00,35,,Chicago,IL,60606-1530
104,"Arlington Park Racecourse, LLC",2200 W Euclid Ave ,7/22/2021,,237,Arlington Park,Arlington Heights,IL,60005-1004
105,AT&T,225 W Randolph St ,7/27/2021,2020-06-30 17:00:00,300,,Chicago,IL,60606-1838
106,Nichols Aluminum LLC,200 Schelter Rd ,7/30/2021,2020-04-26 17:00:00,28,,Lincolnshire,IL,60069-3604
107,"Protect-A-Bed, LLC",1500 S Wolf Rd ,7/28/2021,,48,Surefit Home Decor,Wheeling,IL,60090-6515
108,"Morton Salt, Inc.",444 W Lake St Ste 3000 ,7/29/2021,,123,"Chicago Salt Service, MORTON SALT CONSUMER PRODUCTS",Chicago,IL,60606-0090
109,The Gates Corporation,630 US Highway 150 E ,11/30/2019,2020-03-30 05:00:00,64,"Gates Rubber Co, The",Galesburg,IL,61401-8311
110,"Sodexo, Inc. (Chicago Public Schools)",600 W Cermak 3B,8/4/2021,,354,,Chicago,IL,60637
111,Signode Industrial Group LLC,3650 W Lake Ave ,8/4/2021,,180,"Insulated Transport Products, ANGLEBOARD AND MULTI-WALL PACKAGING AND NATIONAL PACKAGING",Glenview,IL,60026-1215
112,"Evolution Sorbent Products, LLC",1270 Nuclear Dr ,8/13/2021,,37,,West Chicago,IL,60185-1632
113,LyondellBasell Industries,625 E US Highway 36 ,11/15/2021,,94,Equistar Chemicals,Tuscola,IL,61953-7507
114,"Kauffman Engineering, LLC",13301 Tinker St ,8/27/2021,2020-12-07 18:00:00,50,,Lawrenceville,IL,62439-4930
115,Rock Island Arsenal Joint Manufacturing and Technology Center,Bldg 211 Redman Ave ,9/10/2021,,174,,Rock Island,IL,61299-0001
116,"Retail Properties of America, Inc.",2021 Spring Rd Ste 200 ,9/13/2021,,50,,Oak Brook,IL,60523-1845
117,Zep Inc.,901 Parkview Blvd ,9/15/2021,,30,,Lombard,IL,60148
118,Charter Automotive,1145 Jansen Farm Dr ,"2/24/2022, 1/31/2022, 10/5/2021",,29,Charter Precision LLC,Elgin,IL,60123-2596
119,St Joseph's Home of Springfield,3306 S 6th Street Rd ,10/27/2021,,68,,Springfield,IL,62703-4735
120,Vistra Corp.,7800 S Cilco Ln ,5/18/2022,,1,Edwards Power Plant,Bartonville,IL,61607-9352
121,W Diamond Group Corporation,901 W Oakton St ,11/2/2021,,238,,Des Plaines,IL,60018
122,United Parcel Service,2055 W Army Trail Rd Ste 128 ,12/7/2021,,88,UPS,Addison,IL,60101-1478
123,Interfirst Mortgage Company,"9525 W. Bryn Mawr Ave., Suite 400 ",11/18/2021,,274,,Rosemont,IL,60018
124,"Communications Test Design, Inc.",2200 Galvin Drive ,12/14/2021,,137,,Elgin,IL,60124
125,"Spire Power Solutions, L.P.",2475 Millennium Dr ,1/25/2022,,26,,Elgin,IL,60124
126,Friendship Senior Options,0N801 Friendship Way ,4/3/2023,,50,GreenFields Geneva,Geneva,IL,60134
127,Friendship Senior Options,350 W. Schaumburg Rd. ,1/24/2022,,110,Friendship Village of Schaumburg,Schaumburg,IL,60194
128,Galesburg Hospital Corporation,695 N Kellogg St ,1/20/2022,,100,,Galesburg,IL,61401-2885
129,Peloton,"10601 Seymour Ave., Ste 300 ",2/8/2022,,94,Peloton,Franklin Park,IL,60131
130,Lincoln Christian University,100 Campus View Dr ,3/2/2022,,53,,Lincoln,IL,62656-2167
131,"CATCO O'Hare, Inc.",1000 W. O'Hare Ave. ,3/2/2022,,120,,Chicago,IL,60666
132,"Old Town Market, LLC",1233 N Wells St ,3/22/2022,,121,Plum Market,Chicago,IL,60610-1905
133,Wabtec Corporation,6300 Muirfield Drive ,3/22/2022,,58,,Hanover Park,IL,60133-5462
134,Veritiv Operating Company,1141 N Swift Rd ,3/31/2022,,33,,Addison,IL,60101-6114
135,Lincoln University - Main Campus,300 Keokuk St ,4/13/2022,,250,"Lincoln College, Lincoln College Book Store, Lincoln Museum",Lincoln,IL,62656-1699
136,"Hshs Medical Group, Inc.",3051 Hollis Dr Ste 150 # 200 ,4/6/2022,,81,,Springfield,IL,62704-7452
137,"Pepsico, Inc.",617 W Main St ,4/12/2022,,212,,Barrington,IL,60010-4113
138,Lincoln College-Normal Campus,715 W. Raab Road ,4/13/2022,,36,,Normal,IL,61761-4107
139,"Menasha Packaging Company, LLC",710 N Mattis Ave ,4/22/2022,,22,,Champaign,IL,61821-2450
140,"United Growth, LLC",1945 Techny Rd Ste 11 ,4/27/2022,,37,,Northbrook,IL,60062-5306
141,Chartwells at Noble Charter Schools,"1 N. State Street, 15th Floor ",4/28/2022,,67,Chartwells,Chicago,IL,60602
142,National Express Corporation,22544 W 143RD St ,4/27/2022,,102,,Plainfield,IL,60544-7665
143,"Whole Foods Market, Inc.",959 W Fullerton Ave ,5/2/2022,,128,,Chicago,IL,60614-2406
144,"NDSM Chemung, LLC",6303 Maxon Rd ,5/10/2022,,247,,Harvard,IL,60033-8853
145,"OPW Fuel Management Systems, Inc.",6900 Santa Fe Dr. ,5/11/2022,,34,,Hodgkins,IL,60525
146,"Home Products International - North America, Inc.",4501 W 47TH St ,5/16/2022,,50,,Chicago,IL,60632-4407
147,"Home Products International - North America, Inc.",5507 S Archer Ave ,5/16/2022,,96,,Chicago,IL,60638-3003
148,"Piston Automotive, L.L.C.",3458 Morreim Dr ,5/18/2022,2021-04-27 00:00:00,20,,Belvidere,IL,61008-6308
149,"Preferred Meal Systems, Inc.",5240 Saint Charles Rd ,5/19/2022,,307,,Berkeley,IL,60163-1341
150,"Armstrong Flooring, Inc.",1401 N Hobbie Ave ,5/24/2022,,337,,Kankakee,IL,60901-9311
151,"Likewize Us, LLC",1950 USG Dr ,6/7/2022,,61,,Libertyville,IL,60048-5345
152,Brother James Court,2508 Saint James Rd ,6/8/2022,,100,,Springfield,IL,62707-9736
153,Savista at N'western Memorial Hospital,4201 Medical Centre Dr. ,6/13/2022,,202,,McHenry,IL,60050
154,"Grupo Antolin Illinois, Inc.",642 Crystal Pkwy ,6/14/2022,2021-04-25 05:00:00,22,,Belvidere,IL,61008-4065
155,Aerosols Danville ,1 W Hegeler Ln  ,3/7/2022,,220,Voyant Beauty, Danville,IL,61832
156,"Superior West Laundry, LLC",920 S. Campbell Ave. ,6/24/2022,,85,,Chicago,IL,60612
157,"St. Mary's Hospital, Decatur, of The Hospital Sisters of The Third Order of St. Francis",1800 E Lake Shore Dr ,6/28/2022,,73,HSHS Saint Mary's Hospital,Decatur,IL,62521-3810
158,"Elite Labor Services, Ltd.",1315 N North Branch St Ste G ,5/15/2023,,291,Elite Staffing at McKesson Corp.,Chicago,IL,60642-2590
159,"Wabtec Transportation Systems, LLC",6300 Muirfield Dr ,3/3/2022,,48,GE Transportation Systems,Hanover Park,IL,60133-5462
160,"Acme Industries, Inc.",1325 Pratt Blvd ,12/22/2021,2020-01-29 00:00:00,29,,Elk Grove Village,IL,60007-5710
161,Universal Security Corp.,"1455 N Sedgwick St., Ground Floor ",6/28/2022,,188,,Chicago,IL,60610-3538
162,ABM Industries - Orland Park,16150 S. 108th Ave. ,7/6/2022,,92,,Orland Park,IL,60467
163,"Trilogy Warehouse Partners II, LLC",2034 E. Factory Road ,9/2/2022,,93,,Dakota,IL,61018
164,"Micromedical Technologies, Inc.",10 Kemp Dr ,7/19/2022,,18,,Chatham,IL,62629-9769
165,"Morton Grove Pharmaceuticals, Inc.",6451 Main St ,7/19/2022,,66,,Morton Grove,IL,60053-2633
166,"48forty Solutions, LLC","1450 American Lane, Suite 700 ",7/26/2022,,28,,Schaumburg,IL,60173
167,"CJ Logistics America, LLC",760 W Crossroads Pkwy Ste B ,8/1/2022,,21,,Bolingbrook,IL,60490-3509
168,"CJ Logistics America, LLC",1401 W Normantown Rd ,8/1/2022,,189,DSC Logistics,Romeoville,IL,60446-4325
169,Alverno Clinical Laboratories LLC,2434 Interstate Plaza Dr ,7/29/2022,,75,,Hammond,IN,46324-2671
170,Bergstrom Inc.,4060 Mound Rd ,8/5/2022,,56,,Joliet,IL,60436-8901
171,"Fernlea Nurseries, Inc.",14240 Greenhouse Avenue ,8/4/2022,,61,,Granville,IL,61326
172,"Rt Wholesale, LLC",4242 Old River Rd Ste 1A ,8/1/2022,,62,,Schiller Park,IL,60176-1659
173,"Rt Wholesale, LLC",11227 Franklin Ave ,8/1/2022,,27,,Franklin Park,IL,60131-1105
174,"GoHealth, LLC",214 W Huron St. 225 Superior,8/9/2022,,94,,Chicago,IL,60654-8618
175,"Groupon, Inc.","600 W Chicago Ave., Suite 400 ",8/8/2022,,293,,Chicago,IL,60654-2067
176,"Sodexo, Inc. (at Thornton Twsp. High School Dist. 205)",435 E 170th St. ,8/10/2022,,50,,South Holland,IL,60453
177,Bloomingdale's,4963 Old Orchard Center ,8/29/2022,,111,,Skokie,IL,60077
178,"NRG Energy, Inc.",1800 Channahon Rd ,8/16/2022,,50,"Midwest Generation, LLC Joliet Station",Joliet,IL,60436-8539
179,Lake Pointe Grill Inc,1386 Toronto Rd ,9/8/2022,,30,,Springfield,IL,62712-7387
180,"Liberty Bar Products, Inc. (Liberty Steel)",317 E. 11th Street ,9/9/2022,,54,,Chicago Heights,IL,60411
181,"Whole Foods Market, Inc.",832 W 63RD St ,9/12/2022,,52,Whole Foods Market,Chicago,IL,60621-1902
182,"Follett Content Solutions, LLC",1433 Internationale Pkwy ,9/22/2022,,40,,Woodridge,IL,60517-4941
183,Hispanic Housing Development Corporation,4429 N Clifton ,9/22/2022,,25,,Chicago,IL,60640
184,Foxtrot Market,1722 W Division St ,9/26/2022,,26,,Chicago,IL,60622-3212
185,Southwire LLC,1430 12th Street ,10/14/2022,,132,,Waukegan,IL,60085-7613
186,"Certor Sports, LLC",610 & 710 S Industrial Dr ,9/28/2022,,56,Schutt Sports Group,Litchfield,IL,62056
187,Pretium Packaging,2015 S Main St ,10/13/2022,,61,,Paris,IL,61944-2961
188,"Bainbridge Products, LLC",7830A W. 71st Street ,10/17/2022,,36,,Bridgeview,IL,60455
189,Ryder Integrated Logistics,700 State Street ,10/17/2022,,30,,Chicago Heights,IL,60411
190,"Novartis Gene Therapies, Inc.",1900 & 1940 USG Drive ,10/24/2022,,275,,Libertyville,IL,60048
191,"Cardinal Health 200, LLC",815 Tek Drive ,10/27/2022,,236,"Cardinal Health 200, LLC",Crystal Lake,IL,60014
192,"Reditus Laboratories, LLC",200 Enterprise Dr ,"6/30/2023, 11/29/2022",,330,,Pekin,IL,61554-9310
193,Oi Glass Containers,901 N Shabbona St ,11/3/2022,,161,Owens-Brockway Glass,Streator,IL,61364-2058
194,Tavern on Rush,1031 N. Rush Street ,11/4/2022,,150,,Chicago,IL,60611-1227
195,Our Lady of Angels Retirement Home,1201 Wyoming Ave  ,12/1/2022,,27,,Joliet,IL,60435-3792
196,"Grm Industries, LLC",801 SW Jefferson Ave ,12/1/2022,,32,,Peoria,IL,61605-3918
197,Dormakaba USA Inc.,924 Sherwood Dr ,11/29/2022,,42,"Dorma, Dorma+Kaba Group, Best Access Solutions",Lake Bluff,IL,60044-2204
198,Aptar Libertyville,901 Technology Way ,12/1/2022,,77,APTAR,Libertyville,IL,60048-5348
199,"Wilton Industries, Inc.","535 E Diehl Rd, Ste 300 ",12/6/2022,,268,,Naperville,IL,60563-7723
200,"Southern Illinois Healthcare Enterprises, Inc.",1239 E Main St Ste C ,12/7/2022,,76,Southern Illinois Healthcare,Carbondale,IL,62901-3176
201,Clever Moose Champaign,1807 S Neil St ,12/8/2022,,31,,Champaign,IL,61820-7215
202,"Stradis Medical, LLC",3600 Burwood Dr ,12/16/2022,,88,Stradis Healthcare,Waukegan,IL,60085-8399
203,Arrow Home Products LLC,701 E Devon Ave ,12/23/2022,,96,Illinois Bottle Manufacturing Co.,Elk Grove Village,IL,60007-6702
204,Nova Wildcat Shur Line LLC,1750 South Lincoln Drive ,12/22/2022,,35,,Freeport,IL,61032
205,Yanfeng US Automotive Interior Systems I LLC,775 Logistics Dr ,12/16/2022,,163,,Belvidere,IL,61008-8507
206,Mechanical Servants LLC,200 Regency Dr ,1/20/2023,,60,Convenience Valet,Glendale Heights,IL,60139-2265
207,"Villa Financial Services, LLC",3701 W. Lunt Ave. ,12/21/2022,,106,,Lincolnwood,IL,60712
208,Cassens Transport Company,3060 Grant Highway ,12/21/2022,,31,,Belvidere,IL,61008
209,"Specialized Bicycle Components, Inc.",15130 Concord Circle ,1/12/2023,,120,,Morgan Hill,CA,95037-5493
210,Wells Fargo Home Mortgage Inc,4800 Wabash Ave ,"5/4/2023, 3/23/2023, 3/2/2023, 1/18/2023",,140,Wells Fargo,Springfield,IL,62711-7073
211,"Amount, Inc.",222 N La Salle St Ste 1700 ,1/13/2023,,130,,Chicago,IL,60601-1101
212,State Farm Mutual Automobile Insurance Company,3 State Farm Plaza South ,1/18/2023,,451,Corporate South,Bloomington,IL,61791-0001
213,"Hill & Valley, Inc.",320 44TH St ,1/16/2023,,150,NEW DAY BAKERY,Rock Island,IL,61201-2156
214,"HGS USA, LLC",4933 Lincoln Ave. ,"2/15/2023, 1/24/2023",,156,,Lisle,IL,60532
215,"Customized Distribution Services, Inc.",1 Gateway Commerce Center Dr West ,2/8/2023,,125,C D S,Edwardsville,IL,62025-2814
216,"Evolent Health, Inc.",300 S Riverside Plz Ste 400 ,"4/3/2023, 1/12/2023",,155,,Chicago,IL,60606-6616
217,"Aerotek, Inc. (at Abbott Laboratories)",605 Tri-State Parkway ,2/13/2023,,623,,Gurnee,IL,60031
218,Akorn Operating Company LLC,5605 Centerpoint Ct Ste A ,2/24/2023,,115,"Akorn, Clover Pharmaceuticals, Covenant Pharma, Versapharm, 10 EDISON STREET",Gurnee,IL,60031-5278
219,Akorn Operating Company LLC,1222 W Grand Ave 150 S. Wyckles Rd,2/23/2023,,400,Akorn,Decatur,IL,62522-1412
220,Cascades Specialty Products Group,2300 Raddant Road B ,2/22/2023,,26,,Aurora,IL,60502
221,Akorn Operating Company LLC,50 Lakeview Pkwy Ste 112 ,2/24/2023,,40,,Vernon Hills,IL,60061-1578
222,"Heritage Operations Group, LLC","115 W. Jefferson St., Suite 401 ",3/3/2023,,69,,Bloomington,IL,61701
223,Illinois Central School Bus,751 Eastgate Industrial Parkway ,1/11/2023,,67,,Kankakee,IL,60901
224,"American Water Resources, LLC",111 East 4th Street ,3/21/2023,,34,,Alton,IL,62002
225,"Glassdoor, Inc.","1375 W. Fulton Market, 10th Floor ",3/22/2023,,26,,Chicago,IL,60607
226,Walmart,1511 Camp Jackson Road ,3/24/2023,,124,,Cahokia,IL,62206
227,Inland Bank and Trust,2805 Butterfield Rd ,3/24/2023,,54,,Oak Brook,IL,60523-1170
228,Impact Fulfillment Services,3101 Westway Drive ,3/29/2023,,45,,Edwardsville,IL,62025
229,"Aspiration Partners, Inc.",4551 Glencoe Ave Ste 300 ,3/30/2023,,54,,Marina Del Rey,CA,90292-7925
230,Glen-Gery Corporation,1401 Broadway St ,4/4/2023,,38,,Marseilles,IL,61341-2067
231,Flanders Corporation,11360 E State Route 114 ,4/12/2023,,125,,Momence,IL,60954-3960
232,"Cores For You, Inc.",160 Industrial Park ,4/12/2023,,35,,Hamilton,IL,62341
233,"AmeriMark Interactive, LLC",200 Tri State International ,4/10/2023,,212,,Lincolnshire,IL,60069
